Fator_Experimental,Nivel_Configuracao,Recall_Recuperacao,Precision_Recuperacao,Faithfulness_Geracao,Relevancy_Geracao,Correctness_Geracao
Estratégia Chunking,recursive_1000_200,0.81 (0.34),0.94 (0.23),0.95 (0.18),0.78 (0.27),0.61 (0.22)
Estratégia Chunking,recursive_500_100,0.65 (0.42),0.86 (0.35),0.89 (0.27),0.71 (0.35),0.52 (0.25)
Estratégia Chunking,semantic_percentile_75,0.81 (0.38),0.87 (0.33),0.88 (0.27),0.74 (0.32),0.59 (0.26)
Estratégia Chunking,semantic_percentile_95,0.89 (0.31),0.93 (0.25),0.91 (0.23),0.77 (0.28),0.62 (0.24)
Estratégia Busca,hibrida,0.83 (0.35),0.93 (0.26),0.93 (0.21),0.78 (0.28),0.62 (0.23)
Estratégia Busca,textual,0.74 (0.41),0.86 (0.35),0.89 (0.27),0.73 (0.34),0.55 (0.26)
Estratégia Busca,vetorial,0.80 (0.36),0.92 (0.27),0.91 (0.24),0.75 (0.30),0.60 (0.24)
Top-K,5,0.70 (0.42),0.83 (0.37),0.88 (0.28),0.71 (0.36),0.54 (0.27)
Top-K,10,0.79 (0.37),0.91 (0.29),0.92 (0.23),0.76 (0.30),0.59 (0.25)
Top-K,15,0.82 (0.35),0.93 (0.25),0.91 (0.24),0.77 (0.29),0.60 (0.24)
Top-K,20,0.85 (0.33),0.94 (0.23),0.92 (0.22),0.78 (0.27),0.62 (0.23)
Modelo LLM,gpt-4o,0.79 (0.37),0.90 (0.29),0.90 (0.26),0.73 (0.33),0.58 (0.26)
Modelo LLM,gpt-4o-mini,0.79 (0.37),0.90 (0.30),0.92 (0.22),0.78 (0.28),0.60 (0.24)
